transaction_id,agency,transaction_type,vendor_or_employee,amount,transaction_date,status,error_flag,anomaly
105643,Defense,Payroll,Foster-Brown,498095.24,2025-06-11,Approved,False,-1
105668,Defense,Benefits,Gomez-Osborne,497891.76,2024-11-05,Rejected,False,-1
105715,Transportation,Inspection,"Baker, Marsh and Spencer",393.39,2024-03-02,Pending,False,-1
105755,Defense,Inspection,Nielsen PLC,496.41,2025-02-23,Pending,False,-1
105793,Education,Procurement,Walters-Lewis,498404.3,2025-04-15,Pending,False,-1
106201,Education,Procurement,"Rodriguez, Hayden and Evans",2071.35,2024-04-24,Pending,False,-1
106233,Defense,Procurement,Watson and Sons,413.98,2025-11-23,Pending,False,-1
106269,Transportation,Procurement,Wilson-Sullivan,862.22,2024-12-07,Rejected,False,-1
106272,Education,Benefits,Mahoney and Sons,499325.1,2025-07-13,Approved,False,-1
106335,Transportation,Inspection,Clay Ltd,1043.85,2025-08-16,Approved,False,-1
106373,Transportation,Payroll,"Jackson, Johnson and Brady",2314.42,2024-06-11,Pending,False,-1
106406,Health,Inspection,Blackwell Ltd,498671.54,2024-07-15,Approved,False,-1
106532,Education,Inspection,Snow Inc,498918.48,2025-12-17,Pending,False,-1
106606,Education,Procurement,Campbell PLC,498940.21,2025-01-21,Approved,False,-1
106657,Transportation,Procurement,Sweeney-Sheppard,499386.74,2025-04-09,Approved,False,-1
106827,Health,Inspection,Valdez-Hernandez,152.93,2025-07-07,Pending,False,-1
107082,Defense,Inspection,"Larson, Fox and Jenkins",499730.7,2024-06-03,Pending,False,-1
107313,Health,Inspection,Weeks LLC,498621.85,2024-06-15,Pending,False,-1
107421,Defense,Procurement,Castillo-Ramirez,498949.02,2024-07-10,Pending,False,-1
107587,Education,Benefits,Long-Bennett,2631.12,2024-09-21,Approved,False,-1
107758,Transportation,Inspection,Newton-Thompson,330.58,2024-10-17,Approved,False,-1
107824,Transportation,Inspection,Moore-Hamilton,499706.84,2025-06-19,Pending,False,-1
107840,Defense,Benefits,Waller-Perry,1693.71,2025-09-03,Rejected,False,-1
107937,Transportation,Benefits,Smith Ltd,498367.34,2025-12-18,Approved,False,-1
107994,Health,Inspection,Bailey-Anderson,499933.19,2025-12-07,Pending,False,-1
108206,Health,Procurement,"Hill, Wilson and Harvey",499626.66,2025-06-12,Rejected,False,-1
108293,Defense,Payroll,"Smith, Jackson and Arnold",2002.9,2025-10-16,Approved,False,-1
108422,Transportation,Inspection,"Klein, Jackson and Thornton",1696.93,2025-09-03,Rejected,False,-1
108520,Defense,Benefits,"Mann, Johnson and Martinez",499884.28,2025-12-03,Approved,False,-1
108576,Education,Benefits,Lambert Ltd,498403.65,2025-05-21,Pending,False,-1
108771,Health,Payroll,Porter Inc,2141.14,2024-04-20,Pending,False,-1
108776,Defense,Benefits,Hart Inc,1709.08,2025-12-23,Rejected,False,-1
108991,Transportation,Benefits,Smith PLC,1788.91,2025-06-14,Pending,False,-1
109173,Health,Payroll,Mccarthy-Perry,763.79,2024-04-14,Rejected,False,-1
109307,Education,Procurement,Thomas Ltd,137.75,2025-04-23,Approved,False,-1
109314,Education,Inspection,Harris-Reynolds,498113.74,2025-09-06,Rejected,False,-1
109495,Health,Inspection,Rasmussen Inc,499877.09,2025-09-30,Rejected,False,-1
109560,Health,Payroll,Howard and Sons,906.72,2025-09-20,Rejected,False,-1
109618,Health,Benefits,Robinson and Sons,2813.85,2025-02-23,Rejected,False,-1
109769,Defense,Inspection,Johnson Inc,1295.75,2024-06-09,Approved,False,-1
109887,Health,Payroll,Stevenson-Hart,814.7,2025-10-23,Approved,False,-1
109921,Defense,Payroll,Gordon LLC,1395.74,2025-01-03,Approved,False,-1
109953,Education,Inspection,Jones Inc,499932.36,2024-09-16,Pending,False,-1
110064,Education,Payroll,Johnson PLC,498409.58,2025-10-10,Rejected,False,-1
110144,Transportation,Procurement,"Mclaughlin, Jones and Torres",498319.18,2026-01-12,Rejected,False,-1
110374,Defense,Procurement,"Farley, Allen and Johnson",2757.58,2025-06-05,Pending,False,-1
110407,Health,Inspection,Roth-Holt,1546.47,2024-09-24,Rejected,False,-1
110637,Education,Payroll,Alvarez LLC,1856.59,2024-09-01,Pending,False,-1
110753,Education,Procurement,Conrad PLC,498429.27,2024-06-02,Rejected,False,-1
110756,Transportation,Procurement,Mendoza PLC,499207.55,2025-12-15,Pending,False,-1
110769,Health,Benefits,"Jackson, Howard and Murray",499880.26,2024-10-17,Pending,False,-1
110887,Health,Procurement,"Sanchez, Shepherd and Owens",499049.7,2024-08-21,Pending,False,-1
111122,Transportation,Procurement,"Stewart, Rodriguez and Massey",498040.33,2024-02-19,Approved,False,-1
111126,Defense,Payroll,Gutierrez-Gray,2961.16,2025-12-04,Approved,False,-1
111141,Transportation,Benefits,Gonzalez PLC,1802.19,2024-07-09,Approved,False,-1
111199,Defense,Inspection,Flores and Sons,499339.91,2024-03-24,Approved,False,-1
111254,Health,Inspection,Ramirez-Rodriguez,182.55,2025-09-26,Approved,False,-1
111476,Health,Benefits,Mahoney-Yang,499551.01,2024-06-15,Approved,False,-1
111681,Health,Procurement,"Mendez, Reyes and Dixon",1858.64,2025-02-07,Approved,False,-1
111815,Health,Inspection,Young Inc,499948.22,2025-06-06,Approved,False,-1
112299,Health,Procurement,"Jacobs, Ramirez and Gonzales",2543.65,2025-05-31,Rejected,False,-1
112414,Health,Procurement,Torres LLC,2538.39,2024-05-24,Rejected,False,-1
112452,Health,Benefits,Watts-Barber,961.29,2024-06-09,Approved,False,-1
112714,Education,Inspection,Myers Group,2061.71,2025-03-20,Pending,False,-1
112882,Transportation,Benefits,"Phillips, Anderson and Harris",1180.03,2024-09-07,Approved,False,-1
112959,Transportation,Benefits,"Edwards, Johnson and Alexander",499523.82,2025-01-31,Approved,False,-1
112989,Health,Procurement,Barnes-Carter,498942.45,2025-05-19,Rejected,False,-1
112996,Defense,Procurement,"Paul, Marshall and Hanson",498644.7,2025-04-29,Approved,False,-1
113022,Education,Payroll,Brooks Group,1705.12,2024-11-14,Approved,False,-1
113103,Transportation,Payroll,Carney and Sons,853.31,2025-01-27,Rejected,False,-1
113239,Transportation,Inspection,Hall-Salinas,2529.67,2024-05-14,Approved,False,-1
113318,Health,Inspection,Price LLC,1913.29,2024-11-16,Approved,False,-1
113347,Transportation,Payroll,"Turner, Garcia and Farrell",498063.05,2025-03-17,Pending,False,-1
113373,Defense,Payroll,Schmidt-Olsen,1005.26,2025-11-04,Approved,False,-1
113458,Health,Procurement,"Carrillo, Harris and Rios",499079.19,2025-06-19,Approved,False,-1
113496,Education,Inspection,Shaw and Sons,1841.27,2024-02-12,Pending,False,-1
113525,Health,Benefits,Morris Group,2560.88,2025-01-03,Pending,False,-1
113530,Transportation,Payroll,Terry Group,499596.19,2025-04-09,Rejected,False,-1
113563,Health,Payroll,Thompson-White,499029.09,2025-09-22,Rejected,False,-1
113720,Education,Inspection,Barker Inc,1011.39,2024-03-03,Pending,False,-1
113845,Defense,Procurement,Gonzales Inc,2104.13,2024-07-17,Pending,False,-1
113922,Defense,Payroll,"Wolfe, Thompson and Rodriguez",499240.48,2025-01-01,Rejected,False,-1
114005,Health,Procurement,Noble Ltd,498401.13,2025-06-19,Approved,False,-1
114045,Health,Inspection,Cook-Hubbard,498336.73,2025-06-10,Rejected,False,-1
114138,Defense,Benefits,Petersen PLC,122.56,2025-07-20,Pending,False,-1
114164,Education,Payroll,York LLC,1885.14,2025-09-24,Rejected,False,-1
114172,Transportation,Payroll,Tucker Ltd,207.07,2024-08-10,Approved,False,-1
114378,Health,Procurement,Frank-Davis,1247.92,2024-03-18,Pending,False,-1
114496,Defense,Procurement,Morgan-Morrison,498912.85,2024-08-06,Rejected,False,-1
114618,Transportation,Benefits,Brady Group,498403.13,2025-01-23,Rejected,False,-1
114763,Health,Payroll,"Lopez, Harris and Simmons",498942.09,2026-01-15,Pending,False,-1
114770,Health,Benefits,"Myers, Davis and Sanchez",859.96,2025-11-29,Rejected,False,-1
114863,Transportation,Payroll,"Cunningham, Brown and Tucker",499014.92,2024-11-02,Approved,False,-1
114986,Defense,Inspection,"Owens, Morton and Hayes",1514.0,2024-06-05,Approved,False,-1
115034,Health,Inspection,"Bass, Bailey and Baker",1724.46,2025-04-21,Rejected,False,-1
115132,Transportation,Procurement,"Perez, Delgado and Ewing",499860.58,2025-11-15,Pending,False,-1
115209,Education,Benefits,Hayes Inc,499932.79,2024-05-04,Rejected,False,-1
115232,Defense,Benefits,Lee Ltd,691.37,2025-11-13,Rejected,False,-1
115500,Defense,Procurement,Fuller LLC,497945.15,2025-05-02,Approved,False,-1
115529,Education,Procurement,"Brown, Wells and Walters",840.23,2025-07-02,Pending,False,-1
115534,Health,Benefits,Lopez Ltd,498448.84,2024-04-21,Rejected,False,-1
115590,Transportation,Benefits,Baird Inc,499997.64,2024-11-21,Rejected,False,-1
115630,Education,Procurement,"Lee, Mendoza and Nixon",499454.02,2025-10-20,Rejected,False,-1
115666,Transportation,Benefits,Martinez Group,2455.3,2025-03-24,Approved,False,-1
115833,Education,Inspection,Martin and Sons,499420.55,2024-09-08,Pending,False,-1
115857,Health,Benefits,Morales and Sons,499643.13,2025-09-03,Pending,False,-1
116008,Health,Payroll,Warren-Peterson,1020.98,2025-05-11,Pending,False,-1
116009,Transportation,Payroll,Conley LLC,2412.53,2025-06-02,Pending,False,-1
116022,Transportation,Inspection,"Singleton, Kramer and Davidson",499613.59,2026-01-22,Pending,False,-1
116093,Health,Payroll,Ramirez Inc,2905.51,2024-03-23,Pending,False,-1
116241,Health,Payroll,Sosa Inc,2441.7,2025-01-14,Rejected,False,-1
116451,Defense,Payroll,Booth and Sons,683.01,2025-07-28,Rejected,False,-1
116546,Transportation,Inspection,Kim-Lee,2771.1,2024-10-30,Pending,False,-1
116610,Transportation,Benefits,"Stanley, Ferguson and Cooper",499032.67,2024-09-05,Pending,False,-1
116622,Transportation,Payroll,"Gonzalez, Gay and Giles",2294.73,2025-10-27,Approved,False,-1
116633,Education,Inspection,"Harrison, Porter and Martinez",1571.67,2024-03-24,Approved,False,-1
116741,Defense,Payroll,Mitchell Inc,499738.06,2024-06-23,Pending,False,-1
116775,Health,Benefits,"Parsons, Wilkinson and Washington",2464.83,2024-03-13,Approved,False,-1
116779,Transportation,Inspection,Miller Group,2138.29,2024-03-16,Approved,False,-1
116960,Transportation,Payroll,Khan Group,2749.09,2024-04-01,Approved,False,-1
116989,Health,Payroll,Owen PLC,499656.88,2025-08-17,Rejected,False,-1
117044,Education,Procurement,"Smith, Austin and Cox",499025.97,2025-02-10,Approved,False,-1
117081,Defense,Benefits,Santiago-Dalton,2885.78,2024-06-10,Approved,False,-1
117114,Education,Payroll,Berry-Mitchell,1004.0,2025-11-09,Pending,False,-1
117146,Education,Procurement,"Logan, Arnold and Andrade",3014.07,2025-03-23,Approved,False,-1
117196,Health,Benefits,"Williams, Cooper and Rollins",1573.45,2025-03-17,Rejected,False,-1
117209,Health,Benefits,Hall-Beck,498796.34,2024-03-03,Rejected,False,-1
117269,Education,Payroll,Ewing Inc,990.75,2025-06-25,Approved,False,-1
117271,Education,Procurement,Miller Inc,2565.0,2024-05-07,Approved,False,-1
117312,Defense,Inspection,Fisher Inc,2060.41,2025-06-19,Approved,False,-1
117420,Education,Procurement,"Dean, Moore and Hudson",220.71,2024-04-13,Rejected,False,-1
117503,Transportation,Procurement,Johnston-Perry,2388.44,2025-11-08,Rejected,False,-1
117508,Defense,Payroll,Benson Group,2468.72,2025-06-27,Rejected,False,-1
117755,Defense,Inspection,Figueroa LLC,2215.05,2025-12-13,Approved,False,-1
117833,Transportation,Procurement,Christian-Day,499693.53,2025-12-28,Pending,False,-1
117902,Education,Payroll,White-Hodge,499666.87,2026-01-30,Rejected,False,-1
117957,Health,Benefits,"Cook, Medina and Carey",2075.79,2025-05-06,Pending,False,-1
117972,Defense,Procurement,"Scott, Brown and Decker",1817.63,2025-10-28,Rejected,False,-1
118089,Health,Inspection,Anderson Group,1002.03,2024-04-21,Approved,False,-1
118148,Health,Payroll,Rodriguez PLC,499340.81,2025-01-31,Approved,False,-1
118309,Education,Inspection,Cabrera-Martin,2952.82,2025-05-05,Rejected,False,-1
118444,Health,Payroll,Jones PLC,2491.68,2025-11-26,Rejected,False,-1
118604,Education,Procurement,Williamson PLC,871.38,2025-05-05,Pending,False,-1
118638,Transportation,Benefits,Lopez Ltd,497950.48,2024-04-26,Rejected,False,-1
118669,Defense,Procurement,"Jones, Hess and Ryan",2364.82,2026-01-31,Rejected,False,-1
118739,Transportation,Payroll,Washington Group,499919.01,2024-09-18,Pending,False,-1
118810,Transportation,Procurement,Lopez Ltd,2658.09,2025-01-14,Pending,False,-1
118838,Health,Procurement,"Quinn, Powell and Rowland",228.65,2025-10-16,Approved,False,-1
119181,Defense,Payroll,"Terry, Ruiz and Camacho",499383.14,2025-07-24,Rejected,False,-1
119192,Defense,Procurement,Pugh-Singh,499060.73,2024-05-10,Rejected,False,-1
119256,Health,Benefits,"Rich, Taylor and Bowman",1363.48,2024-04-05,Pending,False,-1
119277,Transportation,Procurement,"Ward, Patel and Case",2351.05,2025-12-14,Approved,False,-1
119382,Defense,Inspection,Case Inc,499186.51,2024-12-10,Rejected,False,-1
119938,Education,Procurement,Alexander-Johnson,499963.45,2024-03-09,Approved,False,-1
120030,Health,Benefits,Ross Ltd,2428.87,2024-03-22,Approved,False,-1
120071,Defense,Procurement,Lamb PLC,2903.5,2025-02-13,Rejected,False,-1
120299,Health,Procurement,"Travis, Joseph and Lynch",499940.48,2024-06-20,Pending,False,-1
120384,Transportation,Payroll,Lowery-Huynh,2706.44,2025-11-14,Pending,False,-1
120413,Transportation,Procurement,"Haney, Figueroa and Alvarez",3002.72,2025-09-04,Approved,False,-1
120456,Transportation,Benefits,Scott-Dixon,499582.41,2025-10-09,Rejected,False,-1
120485,Transportation,Procurement,Kerr-Mcgee,498134.77,2024-05-17,Rejected,False,-1
120524,Transportation,Procurement,"Williams, Lane and Evans",700.65,2025-09-02,Pending,False,-1
120639,Health,Payroll,Alexander Ltd,1641.4,2024-07-25,Pending,False,-1
120780,Education,Payroll,Lewis PLC,498578.49,2024-04-16,Rejected,False,-1
120785,Health,Benefits,Erickson LLC,498420.17,2025-04-25,Pending,False,-1
120923,Education,Benefits,"Hernandez, Hill and Bell",498679.29,2024-03-26,Approved,False,-1
121090,Transportation,Procurement,Graham PLC,1697.82,2025-05-05,Rejected,False,-1
121280,Transportation,Payroll,"Oneal, King and Matthews",954.3,2024-05-17,Approved,False,-1
121292,Education,Payroll,Davis-Waters,498318.88,2024-03-21,Pending,False,-1
121546,Defense,Procurement,"Nguyen, Peterson and Baker",498900.88,2025-12-05,Pending,False,-1
121697,Health,Procurement,Lloyd PLC,276.16,2025-11-15,Pending,False,-1
121770,Transportation,Procurement,Chambers Group,1345.71,2025-02-12,Pending,False,-1
121775,Defense,Inspection,"Jones, Hoover and Wilson",499497.93,2024-05-01,Rejected,False,-1
121784,Transportation,Inspection,Trevino-Ramirez,2462.35,2024-11-22,Approved,False,-1
121888,Defense,Inspection,Black PLC,2169.72,2025-03-12,Rejected,False,-1
121889,Transportation,Payroll,"Combs, Lutz and Turner",830.96,2026-01-31,Pending,False,-1
121938,Transportation,Payroll,Figueroa-Meyer,499826.88,2025-04-20,Rejected,False,-1
122081,Health,Payroll,"Stewart, Ramos and Wilson",498766.99,2024-04-27,Pending,False,-1
122444,Transportation,Benefits,Mueller-Watson,499912.27,2025-07-30,Rejected,False,-1
122563,Education,Inspection,"Olson, Reed and Reed",499069.71,2025-09-04,Approved,False,-1
122625,Defense,Inspection,Hernandez Inc,829.48,2024-03-24,Pending,False,-1
122643,Education,Inspection,"Hebert, Mclaughlin and Parker",1659.72,2024-09-29,Approved,False,-1
122827,Health,Inspection,"Everett, Bennett and Buck",499339.49,2024-02-10,Rejected,False,-1
123034,Defense,Inspection,"Ellison, Mann and Casey",2370.65,2024-08-02,Pending,False,-1
123235,Defense,Payroll,Montes LLC,499937.75,2024-03-02,Pending,False,-1
123356,Defense,Benefits,Allen-Adams,499488.11,2024-02-29,Rejected,False,-1
123493,Health,Procurement,Eaton-Warren,731.63,2025-11-30,Rejected,False,-1
123740,Health,Payroll,Stuart Group,818.46,2025-06-16,Rejected,False,-1
123744,Health,Benefits,"Lawson, Logan and Miranda",498240.85,2026-01-18,Approved,False,-1
123789,Transportation,Benefits,Riley-Singleton,499791.87,2025-12-09,Pending,False,-1
123955,Defense,Procurement,"Garcia, Giles and French",1249.64,2025-03-08,Rejected,False,-1
124062,Transportation,Inspection,Lee LLC,1364.42,2025-07-31,Pending,False,-1
124116,Transportation,Benefits,Lopez LLC,2753.71,2024-11-24,Approved,False,-1
124231,Transportation,Inspection,"Sparks, Wilson and Phillips",145.99,2024-11-16,Approved,False,-1
124654,Defense,Procurement,"Johnson, Adkins and Wells",528.0,2025-12-07,Rejected,False,-1
124672,Defense,Inspection,Fleming-Taylor,696.44,2024-03-21,Approved,False,-1
124716,Education,Payroll,Wilson-Malone,498830.55,2025-07-02,Rejected,False,-1
124724,Education,Benefits,Schmidt Inc,1522.78,2025-12-08,Pending,False,-1
124872,Health,Payroll,Wright PLC,499925.35,2026-01-25,Approved,False,-1
124960,Education,Payroll,Smith-Garza,498043.41,2024-03-19,Rejected,False,-1
125073,Education,Benefits,Gonzalez and Sons,499261.97,2024-11-12,Pending,False,-1
125475,Transportation,Procurement,Torres LLC,455.68,2025-05-29,Rejected,False,-1
125511,Education,Payroll,"Christian, Best and Hernandez",809.21,2024-05-06,Pending,False,-1
125636,Education,Payroll,Mitchell and Sons,780.05,2024-04-13,Pending,False,-1
125765,Defense,Procurement,Reyes Ltd,926.47,2025-12-09,Approved,False,-1
125808,Education,Procurement,Howard Group,499633.45,2025-05-09,Pending,False,-1
126058,Transportation,Payroll,Ryan-Dorsey,1949.44,2024-11-01,Pending,False,-1
126180,Health,Payroll,"Lane, Fuller and York",499547.66,2025-02-15,Rejected,False,-1
126271,Education,Procurement,"Garcia, Sims and Thomas",612.2,2025-07-19,Rejected,False,-1
126388,Education,Procurement,Griffin and Sons,498740.44,2024-10-18,Approved,False,-1
126416,Education,Payroll,Zuniga Ltd,1169.17,2025-01-31,Rejected,False,-1
126558,Defense,Benefits,Rivera Group,498131.44,2025-11-17,Pending,False,-1
126644,Health,Procurement,Morgan-King,499966.52,2025-01-20,Pending,False,-1
126762,Education,Procurement,Elliott Inc,1577.86,2024-09-09,Approved,False,-1
126967,Defense,Inspection,"Jackson, Perry and Salazar",819.67,2024-09-27,Approved,False,-1
126977,Health,Inspection,"Wolfe, Lewis and Becker",1229.4,2025-11-01,Rejected,False,-1
127001,Health,Benefits,"Wright, Moore and Horne",2706.83,2026-01-29,Pending,False,-1
127110,Defense,Benefits,Cooper-Robinson,2146.91,2025-11-19,Pending,False,-1
127188,Education,Payroll,"Brown, Martinez and Pierce",498899.44,2024-10-24,Rejected,False,-1
127499,Health,Benefits,"Wilkerson, Deleon and Molina",499851.29,2025-02-24,Rejected,False,-1
127519,Defense,Inspection,Mccarty PLC,507.17,2024-02-15,Rejected,False,-1
127596,Health,Benefits,"Bentley, Reyes and Martinez",499756.48,2024-03-19,Pending,False,-1
127699,Health,Payroll,Fisher and Sons,1442.04,2024-10-03,Rejected,False,-1
127703,Defense,Payroll,"Martin, Wolf and King",784.38,2024-05-27,Approved,False,-1
127743,Education,Benefits,Wilson-Young,498170.57,2025-08-30,Pending,False,-1
127878,Health,Benefits,"Rasmussen, Rocha and Hall",499431.32,2025-09-18,Rejected,False,-1
128003,Transportation,Inspection,James-Rodriguez,499086.41,2025-04-10,Pending,False,-1
128049,Transportation,Procurement,Wilson Group,2272.48,2025-01-09,Approved,False,-1
128106,Transportation,Inspection,Moreno and Sons,1602.42,2024-05-06,Approved,False,-1
128183,Transportation,Inspection,"Blair, Garcia and Hill",499008.84,2025-05-15,Pending,False,-1
128266,Defense,Benefits,Parker-Knox,498599.73,2024-06-15,Pending,False,-1
128294,Transportation,Inspection,Lopez-Bowen,2096.91,2025-04-27,Approved,False,-1
128301,Defense,Payroll,Villanueva-Cochran,498511.55,2025-11-16,Rejected,False,-1
128451,Health,Inspection,Velasquez-Hamilton,499272.52,2024-02-21,Approved,False,-1
128504,Health,Inspection,"Tapia, Mueller and Little",498658.47,2024-04-18,Pending,False,-1
129042,Transportation,Procurement,"Johnson, King and Rivera",2859.55,2025-10-03,Approved,False,-1
129277,Health,Inspection,Russo-Anthony,947.14,2024-08-17,Approved,False,-1
129327,Defense,Procurement,Lara-Kim,797.42,2025-04-07,Approved,False,-1
129332,Education,Benefits,Bennett PLC,1824.79,2024-09-23,Pending,False,-1
129433,Defense,Benefits,Garza-Hensley,498839.66,2025-12-01,Rejected,False,-1
129597,Health,Inspection,Rich-Vazquez,2481.12,2026-01-06,Pending,False,-1
129737,Transportation,Benefits,Singleton-Conway,2702.03,2025-07-17,Approved,False,-1
129900,Education,Benefits,Clark Ltd,1514.01,2025-08-06,Approved,False,-1
130016,Education,Benefits,Ballard PLC,499019.24,2025-06-01,Rejected,False,-1
130098,Defense,Benefits,Clark-Fisher,499335.14,2025-02-26,Pending,False,-1
130109,Education,Benefits,"Kelley, Stevens and Jones",499415.64,2024-02-17,Rejected,False,-1
130353,Education,Procurement,Hansen Group,498519.61,2025-04-18,Rejected,False,-1
130425,Health,Benefits,West-Jackson,390.44,2025-01-29,Rejected,False,-1
130479,Defense,Procurement,Nguyen-Patterson,499725.41,2024-03-31,Rejected,False,-1
130567,Defense,Procurement,May Group,124.33,2025-04-03,Rejected,False,-1
130658,Transportation,Procurement,Bennett-Smith,499957.08,2024-04-07,Approved,False,-1
130710,Defense,Payroll,"Gomez, Robbins and Brown",2789.12,2025-07-04,Approved,False,-1
130716,Health,Benefits,Walsh-Frost,498212.5,2025-01-07,Pending,False,-1
130732,Education,Payroll,Dixon-Byrd,2695.05,2025-11-08,Approved,False,-1
130946,Transportation,Benefits,Silva-Fernandez,1950.72,2024-06-06,Rejected,False,-1
130953,Health,Inspection,Willis-Robinson,1987.46,2024-06-29,Rejected,False,-1
130997,Health,Inspection,Wilson Ltd,677.41,2024-03-01,Rejected,False,-1
131102,Health,Benefits,Johnson-Carter,499954.27,2025-09-09,Approved,False,-1
131143,Defense,Inspection,"Wilcox, Dixon and Kelly",319.33,2024-05-17,Pending,False,-1
131556,Education,Benefits,Austin Group,499888.82,2024-06-12,Approved,False,-1
131617,Health,Inspection,"Wood, Hale and Lowe",1247.7,2025-01-27,Pending,False,-1
131746,Education,Benefits,Rocha PLC,499981.68,2025-08-16,Rejected,False,-1
131897,Health,Procurement,White Inc,1053.04,2025-08-07,Pending,False,-1
132016,Health,Payroll,Garcia Group,257.45,2024-09-02,Rejected,False,-1
132033,Defense,Procurement,Clark Ltd,499251.28,2024-10-18,Pending,False,-1
132154,Health,Procurement,Cisneros PLC,2370.48,2026-01-20,Pending,False,-1
132265,Education,Payroll,Roth Inc,1464.48,2024-04-08,Approved,False,-1
132339,Defense,Payroll,"Michael, Harris and Lucas",499753.0,2024-10-06,Rejected,False,-1
132372,Education,Payroll,Warren-Wilkins,2081.86,2024-09-25,Approved,False,-1
132385,Health,Procurement,"King, Arellano and Medina",499683.95,2025-04-05,Rejected,False,-1
132406,Defense,Procurement,Hernandez-Franklin,1061.13,2024-07-29,Pending,False,-1
132561,Defense,Procurement,Blackwell Ltd,1291.74,2024-04-20,Rejected,False,-1
132589,Education,Payroll,Riley PLC,1225.01,2024-06-30,Pending,False,-1
132602,Defense,Benefits,"Gomez, Cox and White",569.7,2025-06-10,Pending,False,-1
132877,Health,Benefits,"Collins, Martin and Chan",2403.11,2025-04-21,Rejected,False,-1
132900,Defense,Procurement,Dillon LLC,2253.36,2025-09-05,Pending,False,-1
133004,Health,Inspection,"Ward, Scott and Marshall",1968.78,2025-01-26,Approved,False,-1
133177,Transportation,Inspection,Nelson and Sons,2019.61,2024-10-08,Rejected,False,-1
133233,Health,Procurement,"Reed, Mckinney and Powers",498706.02,2025-09-19,Pending,False,-1
133345,Education,Payroll,Brewer-Jones,173.16,2024-09-04,Rejected,False,-1
133474,Health,Payroll,Klein Ltd,2219.83,2025-04-10,Pending,False,-1
133563,Defense,Benefits,Watkins Group,263.05,2024-04-27,Rejected,False,-1
133662,Health,Payroll,Merritt-Cole,499047.34,2025-05-08,Rejected,False,-1
133725,Health,Inspection,"Bryant, Smith and Frank",498207.72,2026-01-25,Approved,False,-1
133823,Transportation,Inspection,"Alvarado, Harper and Smith",499252.55,2024-08-15,Pending,False,-1
133940,Transportation,Payroll,Moran Ltd,1868.72,2024-04-02,Rejected,False,-1
134011,Education,Payroll,Hess-Lopez,2284.03,2024-04-10,Pending,False,-1
134034,Transportation,Payroll,"Winters, Bernard and Guzman",499937.32,2024-04-02,Rejected,False,-1
134110,Health,Benefits,Ellis Group,2690.65,2025-10-08,Pending,False,-1
134236,Transportation,Payroll,Brown-Huang,1909.34,2025-01-20,Approved,False,-1
134317,Defense,Procurement,"Jenkins, Park and Finley",1505.57,2024-06-02,Approved,False,-1
134319,Health,Benefits,"Cowan, Morgan and Barrett",499076.82,2024-04-15,Rejected,False,-1
134330,Defense,Procurement,"Jones, Holmes and Mullins",1153.33,2024-10-24,Pending,False,-1
134430,Defense,Benefits,Ramirez and Sons,1212.05,2024-10-06,Pending,False,-1
134479,Education,Procurement,"Miller, Daniels and Gonzalez",2500.01,2025-08-25,Rejected,False,-1
134740,Education,Inspection,Jackson LLC,1690.66,2024-12-21,Pending,False,-1
134883,Defense,Benefits,Merritt Group,498166.37,2024-11-16,Rejected,False,-1
134921,Education,Procurement,Turner LLC,3159.31,2025-04-21,Pending,False,-1
134972,Defense,Procurement,"Delgado, Reyes and Vasquez",499224.39,2024-05-11,Pending,False,-1
135036,Health,Payroll,"Patterson, Rodriguez and Hodges",499914.56,2024-12-18,Pending,False,-1
135043,Health,Payroll,Hunt-Jones,667.35,2024-11-30,Rejected,False,-1
135093,Education,Payroll,Young and Sons,2415.68,2024-06-14,Approved,False,-1
135288,Education,Benefits,Walker-Levine,499319.44,2025-07-12,Pending,False,-1
135296,Defense,Benefits,Mendez-Elliott,498533.18,2025-11-10,Rejected,False,-1
135389,Health,Procurement,"Gates, Curry and Moore",2182.6,2025-06-30,Pending,False,-1
135461,Education,Procurement,Garza LLC,508.48,2025-07-21,Approved,False,-1
135599,Defense,Inspection,Harris-Smith,2668.47,2024-03-17,Approved,False,-1
135607,Transportation,Benefits,Underwood-Lee,499141.94,2024-07-24,Rejected,False,-1
135620,Defense,Benefits,Gutierrez-Freeman,498038.63,2025-10-07,Pending,False,-1
135623,Transportation,Inspection,Powell and Sons,808.48,2025-07-23,Rejected,False,-1
135906,Transportation,Procurement,Clayton-Newton,499410.88,2024-07-04,Pending,False,-1
135999,Health,Benefits,Murphy Ltd,498365.12,2024-10-21,Approved,False,-1
136047,Education,Payroll,Velazquez and Sons,498547.59,2024-08-11,Pending,False,-1
136097,Defense,Benefits,"Rose, Richardson and Harris",817.09,2025-08-01,Pending,False,-1
136403,Education,Payroll,Johnson LLC,1175.55,2024-03-04,Approved,False,-1
136428,Health,Payroll,"Mendez, Robinson and Moody",3142.1,2025-04-04,Rejected,False,-1
136552,Education,Inspection,Landry Inc,2933.77,2025-05-08,Rejected,False,-1
136560,Health,Payroll,Castillo-Clements,2644.97,2024-10-30,Pending,False,-1
136563,Health,Payroll,"Williams, Carney and Harris",914.12,2024-12-15,Rejected,False,-1
136569,Transportation,Benefits,Williams-Thompson,498151.43,2025-12-31,Rejected,False,-1
136739,Education,Payroll,"Smith, Becker and Davis",499885.23,2024-07-08,Approved,False,-1
